#,Category,Difficulty,Dutch,English
649,COMMON WORDS,Medium,spoor,track
650,COMMON WORDS,Medium,last,burden
651,COMMON WORDS,Medium,smal,narrow
652,COMMON WORDS,Medium,slot,key lock
653,COMMON WORDS,Medium,zwak,weak
654,COMMON WORDS,Medium,geur,smell
655,COMMON WORDS,Medium,buik,stomach
656,COMMON WORDS,Medium,flink,hefty
657,COMMON WORDS,Medium,beurt,turn
658,COMMON WORDS,Medium,wangen,cheeks
659,COMMON WORDS,Medium,vloer,floor
660,COMMON WORDS,Medium,rook,smoke
661,COMMON WORDS,Medium,slag,battle
662,COMMON WORDS,Medium,maan,moon
663,COMMON WORDS,Medium,wens,wish
664,COMMON WORDS,Medium,sfeer,ambiance
665,COMMON WORDS,Medium,bron,source
666,COMMON WORDS,Medium,rijk,rich
667,COMMON WORDS,Medium,droog,dry
668,COMMON WORDS,Medium,bord,plate
669,COMMON WORDS,Medium,jeugd,youth
670,COMMON WORDS,Medium,schoon,clean
671,COMMON WORDS,Medium,keel,throat
672,COMMON WORDS,Medium,pak,business suit
673,COMMON WORDS,Medium,broek,pants
674,COMMON WORDS,Medium,golf,wave
675,COMMON WORDS,Medium,lichaam,body
676,COMMON WORDS,Medium,groei,growth
677,COMMON WORDS,Medium,nat,wet
678,COMMON WORDS,Medium,duur,expensive
679,COMMON WORDS,Medium,feest,party
680,COMMON WORDS,Medium,reeks,series
681,COMMON WORDS,Medium,strak,tight
682,COMMON WORDS,Medium,kleed,carpet
683,COMMON WORDS,Medium,vlucht,flight
684,COMMON WORDS,Medium,dak,roof
685,COMMON WORDS,Medium,hals,neck
686,COMMON WORDS,Medium,geel,yellow
687,COMMON WORDS,Medium,streng,strict
688,COMMON WORDS,Medium,veld,field
689,COMMON WORDS,Medium,moe,tired
690,COMMON WORDS,Medium,geloof,"faith, belief"
691,COMMON WORDS,Medium,tak,branch
692,COMMON WORDS,Medium,tong,tongue
693,COMMON WORDS,Medium,kwijt,lost
694,COMMON WORDS,Medium,kaas,cheese
695,COMMON WORDS,Medium,zaal,hall
696,COMMON WORDS,Medium,greep,grip
697,COMMON WORDS,Medium,kust,coast
698,COMMON WORDS,Medium,boos,angry
699,COMMON WORDS,Medium,brug,bridge
700,COMMON WORDS,Medium,vak,"field, subject"
701,COMMON WORDS,Medium,strand,beach
702,COMMON WORDS,Medium,klant,customer
703,COMMON WORDS,Medium,fout,mistake
704,COMMON WORDS,Medium,moed,courage
705,COMMON WORDS,Medium,dom,stupid
706,COMMON WORDS,Medium,jas,jacket
707,COMMON WORDS,Medium,trots,pride
708,COMMON WORDS,Medium,zoet,sweet
709,COMMON WORDS,Medium,fiets,bicycle
710,COMMON WORDS,Medium,wolk,cloud
711,COMMON WORDS,Medium,kast,closet
712,COMMON WORDS,Medium,klap,blow
713,COMMON WORDS,Medium,stroom,flow
714,COMMON WORDS,Medium,winst,profit
715,COMMON WORDS,Medium,knap,good looking
716,COMMON WORDS,Medium,straf,punishment
717,COMMON WORDS,Medium,langzaam,slow
718,COMMON WORDS,Medium,boog,bow
719,COMMON WORDS,Medium,een poos,a while
720,COMMON WORDS,Medium,strekken,stretch
721,COMMON WORDS,Medium,brand,fire
722,COMMON WORDS,Medium,dwars,transverse
723,COMMON WORDS,Medium,kist,chest
724,COMMON WORDS,Medium,wand,wall
725,COMMON WORDS,Medium,klacht,complaint
726,COMMON WORDS,Medium,stuur,steering wheel
727,COMMON WORDS,Medium,kern,core
728,COMMON WORDS,Medium,leer,leather
729,COMMON WORDS,Medium,het liefst,most preferably
730,COMMON WORDS,Medium,dun,thin
731,COMMON WORDS,Medium,jurk,dress
732,COMMON WORDS,Medium,troep,mess
733,COMMON WORDS,Medium,hoed,hat
734,COMMON WORDS,Medium,sturen,to send
735,COMMON WORDS,Medium,tocht,tour
736,COMMON WORDS,Medium,mes,knife
737,COMMON WORDS,Medium,maat,measure
738,COMMON WORDS,Medium,poot,leg
739,COMMON WORDS,Medium,vent,guy
740,COMMON WORDS,Medium,maag,stomach
741,COMMON WORDS,Medium,lijk,corpse
742,COMMON WORDS,Medium,eer,honor
743,COMMON WORDS,Medium,mooi,beautiful
744,COMMON WORDS,Medium,kruis,cross
745,COMMON WORDS,Medium,doos,box
746,COMMON WORDS,Medium,vrucht,fruit
747,COMMON WORDS,Medium,klein,small
748,COMMON WORDS,Medium,makkelijk,easy
749,COMMON WORDS,Difficult,eigenlijk,actually
750,COMMON WORDS,Difficult,misschien,maybe
751,COMMON WORDS,Difficult,over,about
752,COMMON WORDS,Difficult,ander,other
753,COMMON WORDS,Difficult,zoals,such as
754,COMMON WORDS,Difficult,zonder,without
755,COMMON WORDS,Difficult,altijd,always
756,COMMON WORDS,Difficult,eigen,own
757,COMMON WORDS,Difficult,alles,everything
758,COMMON WORDS,Difficult,terwijl,while
759,COMMON WORDS,Difficult,anders,different
760,COMMON WORDS,Difficult,terug,back
761,COMMON WORDS,Difficult,mogelijk,possible
762,COMMON WORDS,Difficult,geval,case
763,COMMON WORDS,Difficult,echter,however
764,COMMON WORDS,Difficult,zeker,sure
765,COMMON WORDS,Difficult,enkel,only
766,COMMON WORDS,Difficult,natuurlijk,of course
767,COMMON WORDS,Difficult,gezicht,face
768,COMMON WORDS,Difficult,iemand,someone
769,COMMON WORDS,Difficult,wereld,world
770,COMMON WORDS,Difficult,duidelijk,clearly
771,COMMON WORDS,Difficult,vooral,mostly
772,COMMON WORDS,Difficult,nodig,required
773,COMMON WORDS,Difficult,bijna,almost
774,COMMON WORDS,Difficult,alsof,as if
775,COMMON WORDS,Difficult,helemaal,completely
776,COMMON WORDS,Difficult,binnen,"within, inside"
777,COMMON WORDS,Difficult,aantal,number of
778,COMMON WORDS,Difficult,manier,way
779,COMMON WORDS,Difficult,kamer,room
780,COMMON WORDS,Difficult,allemaal,all of them
781,COMMON WORDS,Difficult,zichzelf,himself
782,COMMON WORDS,Difficult,eigenlijk,actually
783,COMMON WORDS,Difficult,niemand,nobody
784,COMMON WORDS,Difficult,daarom,therefore
785,COMMON WORDS,Difficult,gewoon,just
786,COMMON WORDS,Difficult,samen,together
787,COMMON WORDS,Difficult,genoeg,enough
788,COMMON WORDS,Difficult,verder,further
789,COMMON WORDS,Difficult,daarna,after that
790,COMMON WORDS,Difficult,verschillende,various
791,COMMON WORDS,Difficult,volgens,according to
792,COMMON WORDS,Difficult,moeilijk,difficult
793,COMMON WORDS,Difficult,weinig,"little, few"
794,COMMON WORDS,Difficult,iedereen,everyone
795,COMMON WORDS,Difficult,dezelfde,the same
796,COMMON WORDS,Difficult,gedachte,thought
797,COMMON WORDS,Difficult,geheel,whole
798,COMMON WORDS,Difficult,bijvoorbeeld,for example
799,COMMON WORDS,Difficult,belang,interest
800,COMMON WORDS,Difficult,ontwikkeling,development
801,COMMON WORDS,Difficult,zoveel,that much
802,COMMON WORDS,Difficult,gevoel,feeling
803,COMMON WORDS,Difficult,boven,upstairs
804,COMMON WORDS,Difficult,algemeen,general
805,COMMON WORDS,Difficult,gebied,area
806,COMMON WORDS,Difficult,bijzonder,special
807,COMMON WORDS,Difficult,buiten,outside
808,COMMON WORDS,Difficult,verhaal,story
809,COMMON WORDS,Difficult,gevolg,consequence
810,COMMON WORDS,Difficult,voorbeeld,example
811,COMMON WORDS,Difficult,opnieuw,again
812,COMMON WORDS,Difficult,vroeger,back in the days
813,COMMON WORDS,Difficult,bovendien,moreover
814,COMMON WORDS,Difficult,mogelijkheid,possibility
815,COMMON WORDS,Difficult,reden,reason
816,COMMON WORDS,Difficult,eerder,earlier
817,COMMON WORDS,Difficult,bepaald,determined
818,COMMON WORDS,Difficult,vanuit,from
819,COMMON WORDS,Difficult,tegenover,opposite
820,COMMON WORDS,Difficult,gebruik,use
821,COMMON WORDS,Difficult,meteen,right away
822,COMMON WORDS,Difficult,onderzoek,research
823,COMMON WORDS,Difficult,beweging,movement
824,COMMON WORDS,Difficult,waarschijnlijk,probably
825,COMMON WORDS,Difficult,zaken,affairs
826,COMMON WORDS,Difficult,aandacht,attention
827,COMMON WORDS,Difficult,langzaam,slowly
828,COMMON WORDS,Difficult,richting,towards
829,COMMON WORDS,Difficult,verschillen,differences
830,COMMON WORDS,Difficult,oorlog,war
831,COMMON WORDS,Difficult,meestal,mostly
832,COMMON WORDS,Difficult,nauwelijks,barely
833,COMMON WORDS,Difficult,hetzelfde,the same
834,COMMON WORDS,Difficult,tenslotte,finally
835,COMMON WORDS,Difficult,menselijk,human
836,COMMON WORDS,Difficult,invloed,influence
837,COMMON WORDS,Difficult,bezig,busy
838,COMMON WORDS,Difficult,verband,bandage
839,COMMON WORDS,Difficult,plotseling,suddenly
840,COMMON WORDS,Difficult,inderdaad,indeed
841,COMMON WORDS,Difficult,maatschappij,society
842,COMMON WORDS,Difficult,gemakkelijk,easy
843,COMMON WORDS,Difficult,donker,dark
844,COMMON WORDS,Difficult,verschil,difference
845,COMMON WORDS,Difficult,gelukkig,happy
846,COMMON WORDS,Difficult,betekenis,meaning
847,COMMON WORDS,Difficult,ervaring,experience
848,COMMON WORDS,Difficult,begrip,understanding
849,COMMON WORDS,Difficult,mevrouw,Mrs.
850,COMMON WORDS,Difficult,volgende,next
851,COMMON WORDS,Difficult,volledig,complete
852,COMMON WORDS,Difficult,verschillend,different
853,COMMON WORDS,Difficult,onderwijs,education
854,COMMON WORDS,Difficult,behoefte,need
855,COMMON WORDS,Difficult,rustig,quiet
856,COMMON WORDS,Difficult,eenmaal,once
857,COMMON WORDS,Difficult,eenvoudig,simple
858,COMMON WORDS,Difficult,ongeveer,approximately
859,COMMON WORDS,Difficult,waarde,value
860,COMMON WORDS,Difficult,ergens,somewhere
861,COMMON WORDS,Difficult,gesprek,conversation
862,COMMON WORDS,Difficult,indruk,impression
863,COMMON WORDS,Difficult,aarde,soil
864,COMMON WORDS,Difficult,onmiddellijk,immediately
865,COMMON WORDS,Difficult,werkelijkheid,reality
866,COMMON WORDS,Difficult,persoonlijk,in person
867,COMMON WORDS,Difficult,ruimte,space
868,COMMON WORDS,Difficult,moeite,effort
869,COMMON WORDS,Difficult,verandering,change
870,COMMON WORDS,Difficult,geluid,sound
871,COMMON WORDS,Difficult,gedrag,behaviour
872,COMMON WORDS,Difficult,bewust,conscious
873,COMMON WORDS,Difficult,namelijk,namely
874,COMMON WORDS,Difficult,regel,rule
875,COMMON WORDS,Difficult,voordat,before
876,COMMON WORDS,Difficult,gelijk,equal
877,COMMON WORDS,Difficult,geschiedenis,history
878,COMMON WORDS,Difficult,kop,headline
879,COMMON WORDS,Difficult,voldoende,enough
880,COMMON WORDS,Difficult,overal,everywhere
881,COMMON WORDS,Difficult,ernstig,serious
882,COMMON WORDS,Difficult,nogal,quite
883,COMMON WORDS,Difficult,overigens,moreover
884,COMMON WORDS,Difficult,omstandigheid,circumstance
885,COMMON WORDS,Difficult,noch,neither
886,COMMON WORDS,Difficult,trouwens,"besides, by the way"
887,COMMON WORDS,Difficult,toekomst,future
888,COMMON WORDS,Difficult,opeens,suddenly
889,COMMON WORDS,Difficult,omgeving,surroundings
890,COMMON WORDS,Difficult,opvatting,view
891,COMMON WORDS,Difficult,overheid,government
892,COMMON WORDS,Difficult,afstand,distance
893,COMMON WORDS,Difficult,vervolgens,thereafter
894,COMMON WORDS,Difficult,wetenschap,science
895,COMMON WORDS,Difficult,ondanks,despite
896,COMMON WORDS,Difficult,eindelijk,finally
897,COMMON WORDS,Difficult,vrijheid,freedom
898,COMMON WORDS,Difficult,omhoog,up
899,COMMON WORDS,Difficult,ziekte,disease
900,COMMON WORDS,Difficult,hoogte,height
901,COMMON WORDS,Difficult,beleid,policy
902,COMMON WORDS,Difficult,schrijver,writer
903,COMMON WORDS,Difficult,maatschappij,society
904,COMMON WORDS,Difficult,bedrijf,company
905,COMMON WORDS,Difficult,beneden,down
906,COMMON WORDS,Difficult,vandaag,today
907,COMMON WORDS,Difficult,samenleving,society
908,COMMON WORDS,Difficult,verhouding,ratio
909,COMMON WORDS,Difficult,houding,attitude
910,COMMON WORDS,Difficult,gevaar,danger
911,COMMON WORDS,Difficult,regering,government
912,COMMON WORDS,Difficult,rekening,bill
913,COMMON WORDS,Difficult,wetenschappelijk,scientific
914,COMMON WORDS,Difficult,soldaat,soldier
915,COMMON WORDS,Difficult,waarheid,truth
916,COMMON WORDS,Difficult,tenminste,at least
917,COMMON WORDS,Difficult,prachtig,magnificent
918,COMMON WORDS,Difficult,beroep,profession
919,COMMON WORDS,Difficult,poging,attempt
920,COMMON WORDS,Difficult,oorzaak,cause
921,COMMON WORDS,Difficult,mening,opinion
922,COMMON WORDS,Difficult,allen,all
923,COMMON WORDS,Difficult,gezin,family
924,COMMON WORDS,Difficult,voorzichtig,careful
925,COMMON WORDS,Difficult,beslissing,decision
926,COMMON WORDS,Difficult,uiteindelijk,in the end
927,COMMON WORDS,Difficult,geleden,ago
928,COMMON WORDS,Difficult,gelegenheid,opportunity
929,COMMON WORDS,Difficult,noodzakelijk,necessary
930,COMMON WORDS,Difficult,aanwezig,present
931,COMMON WORDS,Difficult,leeftijd,age
932,COMMON WORDS,Difficult,bellen,dial
933,COMMON WORDS,Difficult,onmogelijk,impossible
934,COMMON WORDS,Difficult,stilte,silence
935,COMMON WORDS,Difficult,behandeling,therapy
936,COMMON WORDS,Difficult,huwelijk,wedding
937,COMMON WORDS,Difficult,vorige,"last, previous"
938,COMMON WORDS,Difficult,verklaring,statement
939,COMMON WORDS,Difficult,verleden,past
940,COMMON WORDS,Difficult,bezoek,visit
941,COMMON WORDS,Difficult,oplossing,solution
942,COMMON WORDS,Difficult,doordat,because
943,COMMON WORDS,Difficult,verlangen,desire
944,COMMON WORDS,Difficult,bevatten,contain
945,COMMON WORDS,Difficult,moeilijkheid,difficulty
946,COMMON WORDS,Difficult,keuken,kitchen
947,COMMON WORDS,Difficult,herinnering,reminder
948,COMMON WORDS,Difficult,dagelijks,daily
949,COMMON WORDS,Difficult,ziekenhuis,hospital
950,COMMON WORDS,Difficult,zodra,as soon as
951,COMMON WORDS,Difficult,onderwerp,"topic, subject"
952,COMMON WORDS,Difficult,vrijwel,almost
953,COMMON WORDS,Difficult,blijkbaar,apparently
954,COMMON WORDS,Difficult,bureau,desk
955,COMMON WORDS,Difficult,opdracht,"assignment, exercise"
956,COMMON WORDS,Difficult,gebouw,building
957,COMMON WORDS,Difficult,uitdrukking,expression
958,COMMON WORDS,Difficult,zolang,as long as
959,COMMON WORDS,Difficult,lekker,"tasty, nice"
960,COMMON WORDS,Difficult,bestuur,board
961,COMMON WORDS,Difficult,keuze,choice
962,COMMON WORDS,Difficult,behalve,except
963,COMMON WORDS,Difficult,uitspraak,pronunciation
964,COMMON WORDS,Difficult,nergens,nowhere
965,COMMON WORDS,Difficult,gezond,healthy
966,COMMON WORDS,Difficult,voorstel,proposal
967,COMMON WORDS,Difficult,veilig,safe
968,COMMON WORDS,Difficult,stijgen,rise
969,COMMON WORDS,Difficult,besluit,decision
970,COMMON WORDS,Difficult,eiland,island
971,COMMON WORDS,Difficult,tegenstelling,contrary
972,COMMON WORDS,Difficult,oordeel,judgment
973,COMMON WORDS,Difficult,twijfel,doubt
974,COMMON WORDS,Difficult,glimlach,smile
975,COMMON WORDS,Difficult,uitsluitend,exclusively
976,COMMON WORDS,Difficult,wellicht,perhaps
977,COMMON WORDS,Difficult,spanning,"tension, stress"
978,COMMON WORDS,Difficult,arbeid,labor
979,COMMON WORDS,Difficult,gevaarlijk,dangerous
980,COMMON WORDS,Difficult,rechter,judge
981,COMMON WORDS,Difficult,leraar,teacher
982,COMMON WORDS,Difficult,vriendin,girlfriend
983,COMMON WORDS,Difficult,zekerheid,security
984,COMMON WORDS,Difficult,gewoonlijk,usually
985,COMMON WORDS,Difficult,heerlijk,delicious
986,COMMON WORDS,Difficult,geur,smell
987,COMMON WORDS,Difficult,openbaar,public
988,COMMON WORDS,Difficult,voordeel,benefit
989,COMMON WORDS,Difficult,opmerking,comment
990,COMMON WORDS,Difficult,intussen,meanwhile
991,COMMON WORDS,Difficult,gezag,authority
992,COMMON WORDS,Difficult,herhalen,to repeat
993,COMMON WORDS,Difficult,tevreden,satisfied; pleased
994,COMMON WORDS,Difficult,kantoor,office
995,COMMON WORDS,Difficult,gedeelte,part
996,COMMON WORDS,Difficult,afdeling,department
997,COMMON WORDS,Difficult,maatregel,measure
998,COMMON WORDS,Difficult,voedsel,food
999,COMMON WORDS,Difficult,boodschap,message
1000,COMMON WORDS,Difficult,krachtige,powerful
1001,COMMON WORDS,Difficult,vrolijk,cheerful
1002,COMMON WORDS,Difficult,vertrek,departure
1003,COMMON WORDS,Difficult,toevallig,coincidentally
1004,COMMON WORDS,Difficult,uitstekend,excellent; outstanding
1005,COMMON WORDS,Difficult,bewijs,proof
1006,COMMON WORDS,Difficult,voorkeur,preference
1007,COMMON WORDS,Difficult,achtergrond,background
1008,COMMON WORDS,Difficult,eigenschap,charachteristic
1009,COMMON WORDS,Difficult,bezit,possession
1010,COMMON WORDS,Difficult,handeling,act
1011,COMMON WORDS,Difficult,arbeider,worker
1012,COMMON WORDS,Difficult,prettig,pleasant
1013,COMMON WORDS,Difficult,geheim,secret
1014,COMMON WORDS,Difficult,gedicht,poem
1015,COMMON WORDS,Difficult,vijand,enemy
1016,COMMON WORDS,Difficult,verwachting,expectation
1017,COMMON WORDS,Difficult,inmiddels,in the meantime
1018,COMMON WORDS,Difficult,ongetwijfeld,"undoubtedly, surely"
1019,COMMON WORDS,Difficult,vergadering,meeting
1020,COMMON WORDS,Difficult,buitenlands,foreign
1021,COMMON WORDS,Difficult,opleiding,education
1022,COMMON WORDS,Difficult,verschrikkelijk,terrible
1023,COMMON WORDS,Difficult,ambtenaar,civil servant
1024,COMMON WORDS,Difficult,redelijk,"reasonable, reasonably"
1025,COMMON WORDS,Difficult,gewoonte,habit
1026,COMMON WORDS,Difficult,verzoek,request
1027,COMMON WORDS,Difficult,leerling,pupil
1028,COMMON WORDS,Difficult,geweld,violence
1029,COMMON WORDS,Difficult,uitzondering,exception
1030,COMMON WORDS,Difficult,voorwerp,object
1031,COMMON WORDS,Difficult,gunstig,favorable
1032,COMMON WORDS,Difficult,regeling,regulation
1033,COMMON WORDS,Difficult,doelstelling,"goal, objective"
1034,COMMON WORDS,Difficult,verdriet,sadness
1035,COMMON WORDS,Difficult,dichtbij,nearby
1036,COMMON WORDS,Difficult,afspraak,appointment
1037,COMMON WORDS,Difficult,allebei,both
1038,COMMON WORDS,Difficult,heuvel,hill
1039,COMMON WORDS,Difficult,voorhoofd,forehead
1040,COMMON WORDS,Difficult,vreselijk,horrible
1041,COMMON WORDS,Difficult,vrede,peace
1042,COMMON WORDS,Difficult,godsdienst,religion
1043,COMMON WORDS,Difficult,samenwerking,cooperation
1044,COMMON WORDS,Difficult,spiegel,mirror
1045,COMMON WORDS,Difficult,verstand,"wit, wiseness"
1046,COMMON WORDS,Difficult,onderscheid,"difference, distinction"
1047,COMMON WORDS,Difficult,aanval,attack
1048,COMMON WORDS,Difficult,ongeluk,accident
1049,COMMON WORDS,Difficult,sleutel,key
1050,COMMON WORDS,Difficult,koffer,suitcase
1051,COMMON WORDS,Difficult,afscheid,goodbye
1052,COMMON WORDS,Difficult,vereniging,"association, club"
1053,COMMON WORDS,Difficult,geweldig,"awesome, great"
1054,COMMON WORDS,Difficult,bodem,"bottom, ground"
1055,COMMON WORDS,Difficult,woning,house
1056,COMMON WORDS,Difficult,overeenkomst,agreement
1057,COMMON WORDS,Difficult,voorzitter,chairman
1058,COMMON WORDS,Difficult,milieu,environment
1059,COMMON WORDS,Difficult,kenmerken,characteristics
1060,COMMON WORDS,Difficult,landschap,landscape
1061,COMMON WORDS,Difficult,definitief,final
1062,COMMON WORDS,Difficult,nauwkeurig,accurate
1063,COMMON WORDS,Difficult,bijdrage,contribution
1064,COMMON WORDS,Difficult,overleg,consultation
1065,COMMON WORDS,Difficult,"man, echtgenoot",husband
1066,COMMON WORDS,Difficult,verbazing,surprise
1067,COMMON WORDS,Difficult,gordijnen,curtains
1068,COMMON WORDS,Difficult,goedkoop,cheap
1069,COMMON WORDS,Difficult,evenwicht,balance
1070,COMMON WORDS,Difficult,vochtig,moist
1071,COMMON WORDS,Difficult,vergelijking,comparison
1072,COMMON WORDS,Difficult,gezondheid,health
1073,COMMON WORDS,Difficult,kern,core
1074,COMMON WORDS,Difficult,gevangenis,"jail, prison"
1075,COMMON WORDS,Difficult,slaapkamer,bedroom
1076,COMMON WORDS,Difficult,kleren,clothes
1077,COMMON WORDS,Difficult,makkelijk,easy
1078,COMMON WORDS,Difficult,verbaasd,surprised
1079,COMMON WORDS,Difficult,deken,blanket
1080,COMMON WORDS,Difficult,vreugde,joy
1081,COMMON WORDS,Difficult,gemak,ease
1082,COMMON WORDS,Difficult,kunstenaar,artist
1083,COMMON WORDS,Difficult,burgemeester,mayor
1084,COMMON WORDS,Difficult,verlies,loss
1085,COMMON WORDS,Difficult,burgerlijk,civil
1086,COMMON WORDS,Difficult,lelijk,ugly
1087,COMMON WORDS,Difficult,overig,"other, remaining"
1088,COMMON WORDS,Difficult,bereid,prepared
1089,COMMON WORDS,Difficult,koningin,queen
1090,COMMON WORDS,Difficult,eigenaar,owner
1091,COMMON WORDS,Difficult,ontmoeting,meeting
1092,COMMON WORDS,Difficult,verslag,report
1093,COMMON WORDS,Difficult,onverwacht,unexpected
1094,COMMON WORDS,Difficult,personeel,staff
1095,COMMON WORDS,Difficult,gezellig,cozy
1096,COMMON WORDS,Difficult,geheugen,memory
1097,COMMON WORDS,Difficult,verdrietig,sad
1098,COMMON WORDS,Difficult,snelheid,speed
1099,COMMON WORDS,Difficult,gemeen,mean
1100,COMMON WORDS,Difficult,nuttig,helpful; useful
1101,COMMON WORDS,Difficult,schade,damage
1102,COMMON WORDS,Difficult,kapot,broken
1103,COMMON WORDS,Difficult,bescherming,protection
1104,COMMON WORDS,Difficult,noodzaak,need
1105,COMMON WORDS,Difficult,jammer,unfortunately
1106,COMMON WORDS,Difficult,toekomstig,future
1107,COMMON WORDS,Difficult,tijdschrift,magazine
1108,COMMON WORDS,Difficult,verdieping,floor
1109,COMMON WORDS,Difficult,aantrekkelijk,attractive
1110,COMMON WORDS,Difficult,opvoeding,education
1111,COMMON WORDS,Difficult,tegenstander,opponent
1112,COMMON WORDS,Difficult,verantwoordelijkheid,responsibility
1113,VERBS,Common verbs,krijgen,"to get, receive"
1114,VERBS,Common verbs,lopen,to walk
1115,VERBS,Common verbs,hebben,to have
1116,VERBS,Common verbs,gaan,to go
1117,VERBS,Common verbs,zijn,to be
1118,VERBS,Common verbs,doen,to do
1119,VERBS,Common verbs,moeten,should/must
1120,VERBS,Common verbs,kunnen,can/be able to
1121,VERBS,Common verbs,komen,to come
1122,VERBS,Common verbs,worden,to become
1123,VERBS,Common verbs,leven,to live
1124,VERBS,Common verbs,zeggen,to say
1125,VERBS,Common verbs,weten,to know
1126,VERBS,Common verbs,houden,"to keep, hold"
1127,VERBS,Common verbs,maken,to make
1128,VERBS,Common verbs,zullen,shall/will
1129,VERBS,Common verbs,willen,to want
1130,VERBS,Common verbs,praten,to talk
1131,VERBS,Common verbs,luisteren,to listen
1132,VERBS,Common verbs,zien,to see
1133,VERBS,Common verbs,helpen,to help
1134,VERBS,Common verbs,blijven,to stay
1135,VERBS,Common verbs,geven,to give
1136,VERBS,Common verbs,vertellen,to tell
1137,VERBS,Common verbs,eten,to eat
1138,VERBS,Common verbs,staan,to stand
1139,VERBS,Common verbs,vragen,to ask
1140,VERBS,Common verbs,nemen,to take
1141,VERBS,Common verbs,kennen,to know
1142,VERBS,Common verbs,stoppen,to stop
1143,VERBS,Common verbs,denken,to think
1144,VERBS,Common verbs,hopen,to hope
1145,VERBS,Common verbs,zouden,would
1146,VERBS,Common verbs,horen,to hear
1147,VERBS,Common verbs,pakken,to grab
1148,VERBS,Common verbs,voelen,to feel
1149,VERBS,Common verbs,zetten,to put
1150,VERBS,Common verbs,werken,to work
1151,VERBS,Common verbs,zitten,to sit
1152,VERBS,Common verbs,zoeken,to search
1153,VERBS,Common verbs,spelen,to play
1154,VERBS,Common verbs,brengen,to bring
1155,VERBS,Common verbs,spreken,to speak
1156,VERBS,Common verbs,blijven,to stay
1157,VERBS,Common verbs,vinden,to find
1158,VERBS,Common verbs,vergeten,to forget
1159,VERBS,Common verbs,beginnen,"to start, begin"
1160,VERBS,Common verbs,betekenen,to mean
1161,VERBS,Common verbs,gebruiken,to use
1162,VERBS,Common verbs,zorgen,to care
1163,VERBS,Common verbs,bellen,to call
1164,VERBS,Common verbs,leren,to learn
1165,VERBS,Common verbs,slapen,to sleep
1166,VERBS,Common verbs,hoeven,to need to
1167,VERBS,Common verbs,drinken,to drink
1168,VERBS,Common verbs,liggen,to lie
1169,VERBS,Common verbs,mogen,to be allowed to/may
1170,VERBS,Common verbs,betalen,to pay
1171,VERBS,Common verbs,voelen,to feel
1172,VERBS,Common verbs,rijden,to drive
1173,VERBS,Common verbs,ontmoeten,to meet
1174,VERBS,Common verbs,vechten,to fight
1175,VERBS,Common verbs,trouwen,to marry
1176,VERBS,Common verbs,verliezen,to lose
1177,VERBS,Common verbs,veranderen,to change
1178,VERBS,Common verbs,antwoorden,to answer
1179,VERBS,Common verbs,kopen,to buy
1180,VERBS,Common verbs,winnen,to win
1181,VERBS,Common verbs,vertrekken,to leave/depart
1182,VERBS,Common verbs,lezen,to read
1183,VERBS,Common verbs,dansen,to dance
1184,VERBS,Common verbs,schrijven,to write
1185,VERBS,Common verbs,duren,to last
1186,VERBS,Common verbs,kosten,to cost
1187,VERBS,Common verbs,bewegen,to move
1188,VERBS,Common verbs,kijken,to look
1189,VERBS,Common verbs,sluiten,to close
1190,VERBS,Common verbs,zingen,to sing
1191,VERBS,Common verbs,zeggen,to say
1192,VERBS,Common verbs,lukken,"to succeed, work out"
1193,VERBS,Common verbs,kiezen,to select
1194,VERBS,Common verbs,verkopen,to sell
1195,VERBS,Common verbs,verdienen,to earn
1196,VERBS,Common verbs,vieren,to celebrate
1197,VERBS,Common verbs,besluiten,to decide
1198,VERBS,Common verbs,ruiken,to smell
1199,VERBS,Common verbs,openen,to open
1200,VERBS,Common verbs,lenen,to borrow
1201,VERBS,Common verbs,sturen,to send
1202,VERBS,Common verbs,reizen,to travel
1203,VERBS,Separable verbs,meenemen,to take along
1204,VERBS,Separable verbs,samenwerken,to cooperate
1205,VERBS,Separable verbs,weggaan,to leave
1206,VERBS,Separable verbs,uitleggen,to explain
1207,VERBS,Separable verbs,meenemen,to take with
1208,VERBS,Separable verbs,doorgaan,to continue
1209,VERBS,Separable verbs,opstaan,to get up
1210,VERBS,Separable verbs,terugkomen,to come back
1211,VERBS,Separable verbs,ophalen,to pick up
1212,VERBS,Separable verbs,oplossen,to resolve; to solve
1213,VERBS,Separable verbs,binnenkomen,to enter
1214,VERBS,Separable verbs,afspreken,to make an appointment
1215,VERBS,Separable verbs,aankomen,to arrive
1216,VERBS,Separable verbs,uitgaan,to go out
1217,VERBS,Separable verbs,aanbieden,to offer
1218,VERBS,Separable verbs,ingaan,to enter
1219,VERBS,Separable verbs,opbellen,to call up
1220,VERBS,Separable verbs,schoonmaken,to clean
1221,VERBS,Separable verbs,dichtdoen,to close
1222,VERBS,Separable verbs,opendoen,to open
1223,VERBS,Separable verbs,samenwonen,to live together
1224,VERBS,Separable verbs,inleveren,to hand in
1225,VERBS,Separable verbs,afwassen,to do the dishes
1226,VERBS,Separable verbs,weggooien,to throw away
1227,VERBS,Separable verbs,instappen,to to get in
1228,VERBS,Separable verbs,uitstappen,to get off
1229,VERBS,Separable verbs,wegbrengen,to take away
1230,VERBS,Separable verbs,oversteken,to cross
1231,VERBS,Separable verbs,afgaan,to go down/descend
